日期,学生ID,消费类型,消费金额,支付方式
2026-03-01,S083,水果店,32.87,支付宝
2026-03-01,S062,超市,49.19,微信
2026-03-01,S103,打印复印,0.50,微信
2026-03-01,S038,饮料,6.29,校园卡
2026-03-01,S077,水果店,18.06,支付宝
2026-03-01,S043,超市,35.96,微信
2026-03-01,S024,饮料,5.58,银行卡
2026-03-01,S029,校园交通,3.46,微信
2026-03-01,S116,水果店,33.95,支付宝
2026-03-01,S108,图书文具,30.36,支付宝
2026-03-01,S034,超市,38.28,微信
2026-03-01,S015,食堂,11.38,微信
2026-03-02,S033,食堂,14.55,校园卡
2026-03-02,S038,图书文具,25.06,支付宝
2026-03-02,S030,打印复印,3.04,微信
2026-03-02,S093,食堂,16.88,校园卡
2026-03-02,S096,食堂,12.73,校园卡
2026-03-02,S066,食堂,27.16,微信
2026-03-02,S092,食堂,25.31,校园卡
2026-03-02,S091,食堂,23.34,微信
2026-03-02,S068,超市,36.52,微信
2026-03-02,S012,食堂,12.69,校园卡
2026-03-02,S118,食堂,18.47,微信
2026-03-02,S047,超市,38.34,支付宝
2026-03-02,S051,食堂,15.85,支付宝
2026-03-02,S090,食堂,16.05,校园卡
2026-03-02,S050,水果店,13.56,微信
2026-03-02,S073,图书文具,4.26,微信
2026-03-02,S016,水果店,9.74,支付宝
2026-03-03,S008,校园交通,1.00,校园卡
2026-03-03,S010,饮料,6.62,校园卡
2026-03-03,S094,食堂,7.94,微信
2026-03-03,S022,超市,12.93,微信
2026-03-03,S105,饮料,4.46,微信
2026-03-03,S109,超市,41.84,支付宝
2026-03-03,S023,食堂,17.01,校园卡
2026-03-03,S003,图书文具,23.77,微信
2026-03-03,S084,打印复印,0.50,校园卡
2026-03-03,S031,图书文具,3.00,微信
2026-03-03,S072,水果店,4.00,微信
2026-03-03,S052,校园交通,4.11,银行卡
2026-03-03,S111,超市,58.25,微信
2026-03-03,S027,饮料,2.98,微信
2026-03-03,S023,校园交通,2.87,校园卡
2026-03-03,S018,超市,6.00,支付宝
2026-03-03,S099,食堂,24.16,微信
2026-03-04,S082,超市,9.54,校园卡
2026-03-04,S065,食堂,26.00,校园卡
2026-03-04,S017,食堂,11.91,微信
2026-03-04,S008,水果店,28.31,支付宝
2026-03-04,S101,食堂,19.62,微信
2026-03-04,S101,食堂,16.35,校园卡
2026-03-04,S064,食堂,21.24,支付宝
2026-03-04,S005,超市,45.98,支付宝
2026-03-04,S088,图书文具,10.71,银行卡
2026-03-04,S094,饮料,2.30,支付宝
2026-03-04,S102,食堂,10.39,微信
2026-03-04,S055,体育健身,25.42,微信
2026-03-04,S031,食堂,31.65,校园卡
2026-03-04,S047,食堂,17.26,微信
2026-03-04,S111,图书文具,58.53,支付宝
2026-03-04,S057,水果店,16.84,微信
2026-03-04,S060,食堂,17.65,校园卡
2026-03-04,S040,超市,40.08,微信
2026-03-04,S042,打印复印,10.54,校园卡
2026-03-05,S047,食堂,21.73,支付宝
2026-03-05,S055,食堂,15.14,微信
2026-03-05,S046,图书文具,39.81,微信
2026-03-05,S002,打印复印,9.36,银行卡
2026-03-05,S032,食堂,12.47,校园卡
2026-03-05,S101,水果店,26.96,支付宝
2026-03-05,S061,食堂,20.16,支付宝
2026-03-05,S084,打印复印,3.71,校园卡
2026-03-05,S036,食堂,29.86,微信
2026-03-05,S103,超市,36.36,微信
2026-03-05,S003,食堂,15.11,校园卡
2026-03-05,S053,饮料,6.50,支付宝
2026-03-05,S109,饮料,4.37,校园卡
2026-03-05,S120,超市,38.76,校园卡
2026-03-05,S082,食堂,11.04,微信
2026-03-05,S025,超市,39.60,支付宝
2026-03-05,S025,食堂,28.37,微信
2026-03-05,S119,超市,6.00,校园卡
2026-03-05,S056,体育健身,38.60,校园卡
2026-03-06,S075,食堂,14.93,校园卡
2026-03-06,S089,饮料,10.50,校园卡
2026-03-06,S119,超市,44.88,支付宝
2026-03-06,S028,食堂,13.52,微信
2026-03-06,S078,食堂,7.89,支付宝
2026-03-06,S023,食堂,14.14,支付宝
2026-03-06,S087,超市,49.41,支付宝
2026-03-06,S102,食堂,14.86,微信
2026-03-06,S055,食堂,16.02,校园卡
2026-03-06,S119,食堂,11.57,微信
2026-03-06,S059,水果店,21.89,支付宝
2026-03-06,S061,打印复印,2.37,支付宝
2026-03-06,S102,超市,18.02,微信
2026-03-06,S110,超市,26.17,校园卡
2026-03-06,S010,食堂,14.64,校园卡
2026-03-06,S072,饮料,3.64,校园卡
2026-03-06,S041,食堂,15.68,微信
2026-03-06,S090,校园交通,3.58,支付宝
2026-03-06,S003,食堂,13.13,微信
2026-03-07,S039,超市,93.12,微信
2026-03-07,S010,超市,35.72,校园卡
2026-03-07,S045,体育健身,33.07,微信
2026-03-07,S016,体育健身,71.26,支付宝
2026-03-07,S013,饮料,8.96,支付宝
2026-03-07,S073,食堂,17.66,支付宝
2026-03-07,S061,水果店,24.65,微信
2026-03-07,S117,超市,44.96,微信
2026-03-07,S086,校园交通,3.60,校园卡
2026-03-07,S083,水果店,17.14,银行卡
2026-03-07,S105,食堂,12.54,微信
2026-03-08,S029,水果店,11.27,微信
2026-03-08,S078,体育健身,22.95,微信
2026-03-08,S103,水果店,20.71,微信
2026-03-08,S053,食堂,9.17,支付宝
2026-03-08,S070,饮料,3.35,校园卡
2026-03-08,S061,水果店,16.16,微信
2026-03-08,S082,食堂,14.60,微信
2026-03-08,S056,超市,48.47,校园卡
2026-03-08,S109,校园交通,4.14,支付宝
2026-03-08,S010,超市,38.08,支付宝
2026-03-09,S045,超市,33.54,微信
2026-03-09,S029,食堂,8.57,校园卡
2026-03-09,S020,饮料,5.85,微信
2026-03-09,S016,食堂,10.01,支付宝
2026-03-09,S044,食堂,16.84,校园卡
2026-03-09,S051,水果店,29.42,支付宝
2026-03-09,S057,食堂,25.71,校园卡
2026-03-09,S109,食堂,10.88,银行卡
2026-03-09,S100,图书文具,12.50,银行卡
2026-03-09,S059,打印复印,5.05,微信
2026-03-09,S016,食堂,18.90,校园卡
2026-03-09,S020,超市,17.38,微信
2026-03-09,S101,食堂,18.02,校园卡
2026-03-09,S016,体育健身,28.07,微信
2026-03-09,S063,食堂,12.96,校园卡
2026-03-09,S088,校园交通,3.47,支付宝
2026-03-09,S100,超市,30.02,微信
2026-03-10,S036,超市,39.07,校园卡
2026-03-10,S104,食堂,22.91,校园卡
2026-03-10,S076,食堂,22.56,微信
2026-03-10,S058,超市,33.85,校园卡
2026-03-10,S023,食堂,22.87,支付宝
2026-03-10,S015,图书文具,3.00,微信
2026-03-10,S053,超市,20.33,微信
2026-03-10,S077,食堂,12.56,校园卡
2026-03-10,S012,饮料,6.59,银行卡
2026-03-10,S119,食堂,11.49,校园卡
2026-03-10,S009,食堂,11.58,校园卡
2026-03-10,S075,打印复印,3.91,校园卡
2026-03-10,S060,饮料,4.41,支付宝
2026-03-10,S048,打印复印,9.66,支付宝
2026-03-10,S071,食堂,8.09,微信
2026-03-10,S099,食堂,28.67,校园卡
2026-03-10,S049,超市,53.07,支付宝
2026-03-11,S053,食堂,19.31,校园卡
2026-03-11,S062,校园交通,1.71,校园卡
2026-03-11,S085,校园交通,4.13,校园卡
2026-03-11,S033,校园交通,2.10,校园卡
2026-03-11,S034,超市,40.58,支付宝
2026-03-11,S005,图书文具,18.59,支付宝
2026-03-11,S061,食堂,12.23,微信
2026-03-11,S063,食堂,11.52,支付宝
2026-03-11,S117,食堂,20.70,校园卡
2026-03-11,S059,超市,27.36,微信
2026-03-11,S029,超市,32.33,银行卡
2026-03-11,S093,饮料,6.22,支付宝
2026-03-11,S074,图书文具,7.22,微信
2026-03-11,S095,食堂,12.18,支付宝
2026-03-11,S099,水果店,23.69,支付宝
2026-03-11,S041,校园交通,1.40,校园卡
2026-03-11,S078,食堂,15.34,微信
2026-03-11,S035,食堂,21.63,支付宝
2026-03-11,S040,食堂,22.86,校园卡
2026-03-12,S020,饮料,7.52,微信
2026-03-12,S036,食堂,25.86,支付宝
2026-03-12,S118,食堂,19.61,校园卡
2026-03-12,S035,食堂,17.63,校园卡
2026-03-12,S057,食堂,16.36,支付宝
2026-03-12,S002,食堂,14.90,微信
2026-03-12,S027,水果店,13.74,支付宝
2026-03-12,S072,食堂,19.53,支付宝
2026-03-12,S043,水果店,15.42,支付宝
2026-03-12,S108,超市,42.74,校园卡
2026-03-12,S097,食堂,14.24,微信
2026-03-12,S035,超市,21.72,微信
2026-03-12,S058,食堂,17.01,微信
2026-03-12,S010,食堂,15.36,支付宝
2026-03-12,S116,打印复印,2.09,支付宝
2026-03-12,S089,食堂,31.41,银行卡
2026-03-12,S033,食堂,14.71,校园卡
2026-03-12,S058,水果店,7.29,微信
2026-03-12,S079,食堂,16.81,支付宝
2026-03-13,S041,水果店,18.60,银行卡
2026-03-13,S084,水果店,12.28,校园卡
2026-03-13,S007,水果店,17.35,支付宝
2026-03-13,S071,食堂,20.53,校园卡
2026-03-13,S071,食堂,18.06,银行卡
2026-03-13,S046,打印复印,5.90,微信
2026-03-13,S043,饮料,10.75,微信
2026-03-13,S056,饮料,6.93,校园卡
2026-03-13,S080,打印复印,6.10,支付宝
2026-03-13,S073,食堂,20.90,微信
2026-03-13,S014,食堂,17.13,微信
2026-03-13,S117,食堂,27.02,微信
2026-03-13,S088,打印复印,2.05,校园卡
2026-03-13,S096,食堂,20.33,微信
2026-03-13,S027,食堂,9.61,校园卡
2026-03-13,S028,食堂,9.55,微信
2026-03-13,S029,超市,16.10,校园卡
2026-03-13,S014,食堂,32.37,微信
2026-03-14,S114,超市,49.52,微信
2026-03-14,S103,超市,12.04,微信
2026-03-14,S117,校园交通,3.39,校园卡
2026-03-14,S018,水果店,22.79,微信
